,date,benchmark,value
360,2009-01-09,8599.18,0.6071599015651027
361,2009-01-12,8473.97,0.588053577377585
362,2009-01-13,8448.56,0.5890438009716933
363,2009-01-14,8200.14,0.5642918549135074
364,2009-01-15,8212.49,0.5715748984038276
365,2009-01-16,8281.22,0.5794529292393992
366,2009-01-20,7949.09,0.5460058490430155
367,2009-01-21,8228.1,0.5708571993084918
368,2009-01-22,8122.8,0.5606143527559013
369,2009-01-23,8077.56,0.5667473488025755
370,2009-01-26,8116.03,0.5714322618162653
371,2009-01-27,8174.73,0.5788492837873228
372,2009-01-28,8375.45,0.5997372292817224
373,2009-01-29,8149.01,0.58141352958859
374,2009-01-30,8000.86,0.5723574724922907
375,2009-02-02,7936.83,0.5749884934199418
376,2009-02-03,8078.36,0.5859847483547802
377,2009-02-04,7956.66,0.5834414282062981
378,2009-02-05,8063.07,0.5939262818676403
379,2009-02-06,8280.59,0.6070261410649495
380,2009-02-09,8270.87,0.6111453461447001
381,2009-02-10,7888.88,0.5843738691161985
382,2009-02-11,7939.53,0.5888382930720987
383,2009-02-12,7932.76,0.5926196889640493
384,2009-02-13,7850.41,0.5867849604380202
385,2009-02-17,7552.6,0.5638896356632239
386,2009-02-18,7555.63,0.5586013881441686
387,2009-02-19,7465.95,0.5449006673109547
388,2009-02-20,7365.67,0.5437465707468159
389,2009-02-23,7114.78,0.5222870785717815
390,2009-02-24,7350.94,0.5500491238937626
391,2009-02-25,7270.89,0.5387456014128132
392,2009-02-26,7182.08,0.5298139105678407
393,2009-02-27,7062.93,0.5229816017777612
394,2009-03-02,6763.29,0.4961828341478273
395,2009-03-03,6726.02,0.4922870058842985
396,2009-03-04,6875.84,0.5080479758086583
397,2009-03-05,6594.44,0.48290138756339146
398,2009-03-06,6626.94,0.4838756575743667
399,2009-03-09,6547.05,0.477530307605318
400,2009-03-10,6926.49,0.5136922861728812
401,2009-03-11,6930.4,0.5174574390024916
402,2009-03-12,7170.06,0.5432743918070845
403,2009-03-13,7223.98,0.5456071938713376
404,2009-03-16,7216.97,0.5386582575801765
405,2009-03-17,7395.7,0.5578552659041365
406,2009-03-18,7486.58,0.5686304061297877
407,2009-03-19,7400.8,0.5653285348013831
408,2009-03-20,7278.38,0.5523221102648344
409,2009-03-23,7775.86,0.5961218415019791
410,2009-03-24,7659.97,0.5812857363769433
411,2009-03-25,7749.81,0.5926383367459833
412,2009-03-26,7924.56,0.6152185001189022
413,2009-03-27,7776.18,0.6002693027790191
414,2009-03-30,7522.02,0.5654960878154756
415,2009-03-31,7608.92,0.5802874399893054
416,2009-04-01,7761.6,0.5893896069255365
417,2009-04-02,7978.08,0.608950654834022
418,2009-04-03,8017.59,0.623080453808754
419,2009-04-06,7975.85,0.6150010636086858
420,2009-04-07,7789.56,0.5941264242404793
421,2009-04-08,7837.11,0.605217566203869
422,2009-04-09,8083.38,0.6431967975977572
423,2009-04-13,8057.81,0.6513445148903654
424,2009-04-14,7920.18,0.63036735032282
425,2009-04-15,8029.62,0.6416091737246155
426,2009-04-16,8125.43,0.6542995342757099
427,2009-04-17,8131.33,0.6581952199115685
428,2009-04-20,7841.73,0.6168697927723715
429,2009-04-21,7969.56,0.6358449023591368
430,2009-04-22,7886.57,0.6358371383711705
431,2009-04-23,7957.06,0.6444930544871225
432,2009-04-24,8076.29,0.6592597711808178
433,2009-04-27,8025.0,0.6494895703568414
434,2009-04-28,8016.95,0.6421310970247468
435,2009-04-29,8185.73,0.6625762994096069
436,2009-04-30,8168.12,0.6770043551826841
437,2009-05-01,8212.41,0.6773767497738019
438,2009-05-04,8426.74,0.7091944326064643
439,2009-05-05,8410.65,0.7037490287321946
440,2009-05-06,8512.28,0.7174248027469131
441,2009-05-07,8409.85,0.7051072499011783
442,2009-05-08,8574.65,0.7220994104851161
443,2009-05-11,8418.77,0.7041484809958118
444,2009-05-12,8469.11,0.689853583321044
445,2009-05-13,8284.89,0.6604677840142715
446,2009-05-14,8331.32,0.667491305331569
447,2009-05-15,8268.64,0.662814858868855
448,2009-05-18,8504.08,0.6899934862457184
449,2009-05-19,8474.85,0.6892773681300232
450,2009-05-20,8422.04,0.6884745461347607
451,2009-05-21,8292.13,0.6775273756587923
452,2009-05-22,8277.32,0.673819114899336
453,2009-05-26,8473.49,0.6928044105163822
454,2009-05-27,8300.02,0.6828791376734671
455,2009-05-28,8403.8,0.6945845545710856
456,2009-05-29,8500.33,0.7072233373149216
457,2009-06-01,8721.44,0.7273122961274812
458,2009-06-02,8740.87,0.7300694096178669
459,2009-06-03,8675.28,0.7184004533232705
460,2009-06-04,8750.24,0.7278181902262062
461,2009-06-05,8763.13,0.7293750681787221
462,2009-06-08,8764.49,0.7242536189981215
463,2009-06-09,8763.06,0.7322861903971917
464,2009-06-10,8739.02,0.7291066968086003
465,2009-06-11,8770.92,0.7331101675363976
466,2009-06-12,8799.26,0.7331497169754296
467,2009-06-15,8612.13,0.7156924115432053
468,2009-06-16,8504.67,0.7042590278646743
469,2009-06-17,8497.18,0.7020327089914927
470,2009-06-18,8555.6,0.7044335874321481
471,2009-06-19,8539.73,0.7096341196190763
472,2009-06-22,8339.01,0.6785454796466437
473,2009-06-23,8322.91,0.6802214844100203
474,2009-06-24,8299.86,0.6924681719406292
475,2009-06-25,8472.4,0.7086801238228155
476,2009-06-26,8438.39,0.7035728346788658
477,2009-06-29,8529.38,0.7118061582182971
478,2009-06-30,8447.0,0.7093963486048719
479,2009-07-01,8504.06,0.7087571326368317
480,2009-07-02,8280.74,0.6863471727508913
481,2009-07-06,8324.87,0.6794160765549091
482,2009-07-07,8163.6,0.6616661844063599
483,2009-07-08,8178.41,0.655731038900413
484,2009-07-09,8183.17,0.659787466402975
485,2009-07-10,8146.52,0.6569845855359114
486,2009-07-13,8331.68,0.6731383727188093
487,2009-07-14,8359.49,0.6787862912333033
488,2009-07-15,8616.21,0.7038451352815875
489,2009-07-16,8711.82,0.7120531262965523
490,2009-07-17,8743.94,0.7115479499490399
491,2009-07-20,8848.15,0.7238667868456184
492,2009-07-21,8915.94,0.7262872608583189
493,2009-07-22,8881.26,0.7280667660456341
494,2009-07-23,9069.29,0.7541190197332805
495,2009-07-24,9093.24,0.7641367870510337
496,2009-07-27,9108.51,0.7650820250995669
497,2009-07-28,9096.72,0.7603094442017874
498,2009-07-29,9070.72,0.7531835112078992
499,2009-07-30,9154.46,0.7705831444435418
500,2009-07-31,9171.61,0.7713054456314635
501,2009-08-03,9286.56,0.786656239718191
502,2009-08-04,9320.19,0.7914869501497439
503,2009-08-05,9280.97,0.7944204568547779
504,2009-08-06,9256.26,0.7842729702048146
505,2009-08-07,9370.07,0.7990512608895278
506,2009-08-10,9337.95,0.7918679168099858
507,2009-08-11,9241.45,0.7802486503837139
508,2009-08-12,9361.61,0.787365071695953
509,2009-08-13,9398.19,0.7962465059743914
510,2009-08-14,9321.4,0.7879170438001989
511,2009-08-17,9135.34,0.7618961144334561
512,2009-08-18,9217.94,0.7719602093740296
513,2009-08-19,9279.16,0.7748869288490269
514,2009-08-20,9350.05,0.786604305340645
515,2009-08-21,9505.96,0.802056617097874
516,2009-08-24,9509.28,0.7976811378563583
517,2009-08-25,9539.29,0.8043529387337124
518,2009-08-26,9543.52,0.8040144814010001
519,2009-08-27,9580.63,0.8052827398201454
520,2009-08-28,9544.2,0.8073544633804831
521,2009-08-31,9496.28,0.7971090169751829
522,2009-09-01,9310.6,0.775215703369082
523,2009-09-02,9280.67,0.7742554073273776
524,2009-09-03,9344.61,0.7842326588201046
525,2009-09-04,9441.27,0.7990320531929407
526,2009-09-08,9497.34,0.8120655284682033
527,2009-09-09,9547.22,0.8240072891665654
528,2009-09-10,9627.48,0.8341085095902333
529,2009-09-11,9605.41,0.8378895477799431
530,2009-09-14,9626.8,0.8451938044668518
531,2009-09-15,9683.41,0.8532489537072556
532,2009-09-16,9791.71,0.8728030494839251
533,2009-09-17,9783.92,0.8659493393889944
534,2009-09-18,9820.2,0.8647161426076972
535,2009-09-21,9778.86,0.8615101118804502
536,2009-09-22,9829.87,0.8670587053982844
537,2009-09-23,9748.55,0.8455948908450408
538,2009-09-24,9707.44,0.8313104926154173
539,2009-09-25,9665.19,0.8255034863985995
540,2009-09-28,9789.36,0.8433732216651499
541,2009-09-29,9742.2,0.8414532425114257
542,2009-09-30,9712.28,0.8407145803627157
